#  Steps           Rx_A           Rx_B           Epot           Temp           Ekin           Etot
    2760      -0.000000     -16.686800  -12729.343650       0.060628     181.883247  -12547.460403
    2770      -0.000000     -16.674800  -12728.976287       0.060505     181.515898  -12547.460389
    2780      -0.000000     -16.662800  -12728.693377       0.060411     181.232993  -12547.460384
    2790      -0.000000     -16.650800  -12728.503686       0.060348     181.043307  -12547.460379
    2800      -0.000000     -16.638800  -12728.412877       0.060317     180.952499  -12547.460378
    2810      -0.000000     -16.626800  -12728.424934       0.060322     180.964557  -12547.460377
    2820      -0.000000     -16.614800  -12728.541636       0.060360     181.081256  -12547.460379
    2830      -0.000000     -16.602800  -12728.759874       0.060433     181.299483  -12547.460390
    2840      -0.000000     -16.590800  -12729.070978       0.060537     181.610575  -12547.460402
    2850      -0.000000     -16.578800  -12729.461765       0.060667     182.001353  -12547.460412
    2860      -0.000000     -16.566800  -12729.916592       0.060819     182.456166  -12547.460427
    2870      -0.000000     -16.554800  -12730.417492       0.060986     182.957057  -12547.460435
    2880      -0.000000     -16.542800  -12730.945746       0.061162     183.485298  -12547.460448
    2890      -0.000000     -16.530800  -12731.484316       0.061341     184.023859  -12547.460458
    2900      -0.000000     -16.518800  -12732.018754       0.061519     184.558286  -12547.460468
    2910      -0.000000     -16.506800  -12732.533452       0.061691     185.072970  -12547.460482
    2920      -0.000000     -16.494800  -12733.010080       0.061850     185.549577  -12547.460503
    2930      -0.000000     -16.482800  -12733.429923       0.061990     185.969409  -12547.460514
    2940      -0.000000     -16.470800  -12733.777518       0.062106     186.316985  -12547.460533
    2950      -0.000000     -16.458800  -12734.042567       0.062194     186.582047  -12547.460520
    2960      -0.000000     -16.446800  -12734.218489       0.062253     186.757983  -12547.460506
    2970      -0.000000     -16.434800  -12734.300957       0.062280     186.840426  -12547.460530
    2980      -0.000000     -16.422800  -12734.288024       0.062276     186.827492  -12547.460532
    2990      -0.000000     -16.410800  -12734.179803       0.062240     186.719277  -12547.460526
    3000      -0.000000     -16.398800  -12733.979382       0.062173     186.518864  -12547.460518
    3010      -0.000000     -16.386800  -12733.692487       0.062077     186.231984  -12547.460504
    3020      -0.000000     -16.374800  -12733.330360       0.061957     185.869865  -12547.460495
    3030      -0.000000     -16.362800  -12732.906560       0.061815     185.446081  -12547.460479
    3040      -0.000000     -16.350800  -12732.435045       0.061658     184.974579  -12547.460465
    3050      -0.000000     -16.338800  -12731.929293       0.061490     184.468837  -12547.460456
    3060      -0.000000     -16.326800  -12731.404712       0.061315     183.944272  -12547.460440
    3070      -0.000000     -16.314800  -12730.879392       0.061140     183.418975  -12547.460417
    3080      -0.000000     -16.302800  -12730.370678       0.060970     182.910248  -12547.460430
    3090      -0.000000     -16.290800  -12729.895433       0.060812     182.434999  -12547.460434
    3100      -0.000000     -16.278800  -12729.466447       0.060669     182.006026  -12547.460421
    3110      -0.000000     -16.266800  -12729.094947       0.060545     181.634530  -12547.460417
    3120      -0.000000     -16.254800  -12728.790157       0.060443     181.329744  -12547.460413
    3130      -0.000000     -16.242800  -12728.559620       0.060366     181.099210  -12547.460410
    3140      -0.000000     -16.230800  -12728.408344       0.060316     180.947936  -12547.460408
    3150      -0.000000     -16.218800  -12728.340636       0.060293     180.880233  -12547.460403
    3160      -0.000000     -16.206800  -12728.360103       0.060300     180.899703  -12547.460400
    3170      -0.000000     -16.194800  -12728.468202       0.060336     181.007806  -12547.460396
    3180      -0.000000     -16.182800  -12728.662865       0.060401     181.202467  -12547.460399
    3190      -0.000000     -16.170800  -12728.937811       0.060492     181.477408  -12547.460403
    3200      -0.000000     -16.158800  -12729.283294       0.060608     181.822885  -12547.460409
    3210      -0.000000     -16.146800  -12729.688498       0.060743     182.228081  -12547.460417
    3220      -0.000000     -16.134800  -12730.140789       0.060893     182.680352  -12547.460437
    3230      -0.000000     -16.122800  -12730.625798       0.061055     183.165353  -12547.460446
    3240      -0.000000     -16.110800  -12731.128077       0.061223     183.667623  -12547.460455
    3250      -0.000000     -16.098800  -12731.632951       0.061391     184.172507  -12547.460443
    3260      -0.000000     -16.086800  -12732.127428       0.061556     184.666978  -12547.460450
    3270      -0.000000     -16.074800  -12732.599687       0.061713     185.139233  -12547.460454
    3280      -0.000000     -16.062800  -12733.038523       0.061859     185.578047  -12547.460476
    3290      -0.000000     -16.050800  -12733.427862       0.061989     185.967360  -12547.460502
    3300      -0.000000     -16.038800  -12733.752204       0.062097     186.291680  -12547.460524
    3310      -0.000000     -16.026800  -12733.999187       0.062180     186.538658  -12547.460529
    3320      -0.000000     -16.014800  -12734.160508       0.062233     186.699981  -12547.460526
    3330      -0.000000     -16.002800  -12734.232686       0.062257     186.772164  -12547.460521
    3340      -0.000000     -15.990800  -12734.214508       0.062251     186.754023  -12547.460485
    3350      -0.000000     -15.978800  -12734.105562       0.062215     186.645054  -12547.460508
    3360      -0.000000     -15.966800  -12733.906551       0.062149     186.446034  -12547.460517
